"BARKER, SCHEELE","Meg-John, Jules",Sexuality - A graphic guide,18,E.4.,1,EN,CLASSE,,
BARKI,Irène,Pour ces yeux-là - La face cachée du drame argentin : les enfants disparus,22,,1,FR,CLASSE,,
"BAROQUE, EANELLI","Fray, Tegan",Vers la plus queer des insurrections,32,,1,FR,CLASSE,,
BASTIDE,Laurent,La poudre - Entretiens par Laurent Bastide,22,,1,FR,CLASSE,,
"BAUDY, DIEUMEGARD","Mathilde, Tiphaine","Le petit illustré, de l’intimité – de la vulve, du vagin, de l’utérus, du clitoris, des règles, etc.",41,H.2.,1,FR,CLASSE,,
"BAUDY, DIEUMEGARD","Mathilde, Tiphaine","Le petit illustré, de l’intimité – du pénis, du scrotum, des testicules, du prépuce, des érections, etc.",41,H.2.,1,FR,CLASSE,,
BAUER,Josette,Une femme en cavale,22,,1,FR,CLASSE,,
"BEAUMONT, PARINAUD","Germaine, André",Colette,22,,1,FR,CLASSE,,
"BEAUSSON-DIAGNE, GABIN, GUEYE, HAÏDARA, KHAN, MAÏGA, MARTINS, NGA, POKORA, RICHARD, ROLLAND, SILBERFELD, SOUAGNON, SYLLA, TOURÉ, ZOBDA
","Nadège, Mata, Maïmouna, Eye, Rachel, Aïssa, Sara, Marie-Philomène, Sabine, Firmine, Sonia, Magaajyia, Shirley, Assa, Karidja, France",Noire n’est pas mon métier,20,,1,FR,CLASSE,,
BECHDEL,Alison,Fun Home - Une tragicomédie familiale,22,,1,FR,CLASSE,,
BECHDEL,Alison,"Dykes to watch out for - Hot, Throbbing",42,,1,EN,CLASSE,,
BECHDEL,Alison,Dykes to watch out for – Great romances that never were !,42,,1,EN,CLASSE,,
BECHDEL,Alison,Dykes to watch out for – More,42,,1,EN,CLASSE,,
BECHDEL,Alison,"Dykes to watch out for – New, improved !",42,,1,EN,CLASSE,,
BECHDEL,Alison,Dykes to watch out for – The sequel - Added attraction! “Serial Monogamy” - A Documentary,42,,1,EN,CLASSE,,
BECHDEL,Alison,Dykes to watch out for – Unnatural,42,,1,EN,CLASSE,,
BECHDEL,Alison,L’essentiel des gouines à suivre,42,,1,FR,CLASSE,,
BECQUELIN,Louisa,Tout ce que reflète la nacre,10,,1,FR,CLASSE,,
"BEMON, BOUDET","Jimmy, Émilie",Superman n’est pas juif (...et moi un peu),42,,1,FR,CLASSE,,
BELLI,Gioconda,La mujer habitada,24,,1,ES,CLASSE,ROMAN,
"BENGHOZI, ETCHART","Pierre, Pierre","L’inceste, scènes de famille",12,,1,FR,CLASSE,,
BENNETT,Brit,Je ne sais pas quoi faire des gentils blancs - Essais,16,,1,FR,CLASSE,ESSAI,
BENOTMAN,Hafed,"Ça ne valait pas la peine, mais ça valait le coup -  26 lettres contre la prison choisies par l’Envolée",13,,1,FR ,CLASSE,,
BENTOUHAMI,Hourya,"Judith Butler - Race, genre et mélancolie",16 / 20,A.2.,1,FR,CLASSE,,
"BERENI, REVILLARD, CHAUVIN, JAUNAIT","Laure, Anne, Sébastien, Alexandre",Introduction aux Gender Studies - Manuel des études sur le genre,21,,1,FR,CLASSE,,
BERGERON,Chris,Valide,22/24/19,B.7.,1,FR,CLASSE,,
BENSON,Stella,La vie seule,24,,1,FR,CLASSE,ROMAN,
"BÉRARD, CHANTRAINE","Jean, Gilles",80000 détenus en 2017 ? -  Réforme et dérive de l’institution pénitentiaire,13,,1,FR,CLASSE,,
"BERSANI, BOURDIEU, BROSSARD, CHAUNCEY, ERIBON, FILLIEULE, HALPERIN, KOSOFSKY SEDWICK, LUCEY, MARCUS, PRIEUR, WITTIG","L.,P.,N.,G.,D.,O.,D.,E.,M.,S.,A.,M.",Les études gays et lesbiennes,19,,1,FR,CLASSE,,
BILLE,Corinna S.,Théoda,24,,1,FR,CLASSE,ROMAN,
BLACKBURN,Julia,"Lady in satin - Billie Holiday, portrait d’une diva par ses intimes",22,,2,FR,CLASSE,,1 manquant
BLACKWELl,Maylei,¡Chicana Power! - Contested histories of feminism in the Chicana movement,20,,1,EN,CLASSE,,
BLANCHARD,Véronique,"Vagabondes, voleuses, vicieuses - Adolescentes sous contrôle, de la libération à la libération sexuelle",12,,1,FR,CLASSE,,
"BOGGIO ÉWANJÉ-ÉPÉE, MAGLIANI-BELKACEM","Félix, Stella",Les féministes blanches et l’empire,16,,1,FR,CLASSE,,
BOLLI,Michèle,"Laisses - seuil, soufrière, margelles",10,,1,FR,CLASSE,,
